behavior_id,user_id,movie_id,action_type,timestamp,device_type,duration_sec
2739,user_ceface5e,tt1454029,watched,2025-01-24T00:24:56,web,5554
2122,user_940c6b75,tt6320628,watched,2024-04-28T02:11:09,TV,3209
63e90894-9cc7-40af-9a30-652f44ca8ef3,user_1154ad2d,tt1568346,disliked,2024-02-09T08:10:25,mobile,3
658dbfa6-b3e6-4990-8df7-f9332ee5d4db,user_ced3b2a0,tt3480822,liked,2023-09-29T15:56:44,mobile,4
302,user_c818bd1e,tt0110413,watched,2024-12-26T05:09:28,mobile,6575
1469,user_77839a05,tt0948470,watched,2023-08-04T18:34:30,TV,4837
066a6ac8-a167-4292-b02c-507968be7511,user_c67a35a0,tt0440963,disliked,2024-12-07T10:22:09,web,23
c277ccd7-697d-4ad5-bcf2-3ff694d73392,user_fa510c35,tt6791350,paused,2023-08-11T05:13:25,web,23
1979,user_2235e665,tt0926084,watched,2024-03-12T05:51:29,TV,4347
22efa10c-2083-46e5-9edf-bd712742ab1c,user_2f39413c,tt0107290,paused,2024-10-08T02:13:01,mobile,11
46476e4f-45cb-45e3-8c36-0cad3e11ebc6,user_89a0dd31,tt0066921,clicked,2024-10-08T07:17:19,mobile,4
07f09e6e-f596-4b99-a66b-9221a2e8f260,user_e8630d97,tt0120616,liked,2023-08-20T09:09:03,TV,18
1789,user_0796c9f1,tt0162222,watched,2023-09-01T22:05:37,mobile,1874
2975,user_63dd025e,tt0217505,watched,2024-02-07T21:05:55,TV,5640
80642592-2614-4260-ae7b-6faf22ecb8d7,user_58118477,tt2948372,shared,2024-01-31T08:39:50,mobile,17
f1f68b55-7b10-4001-ad9a-685cc6d9b401,user_1997d96a,tt0232500,liked,2023-12-10T05:41:32,TV,27
f0c3e4cf-4402-4501-856e-e7732fb48087,user_58118477,tt0087332,paused,2025-05-31T03:12:40,mobile,26
30946ac0-8394-4c70-97fb-e941f9cd177a,user_ab3177f6,tt3659388,shared,2024-12-30T00:18:55,TV,9
ee42b71e-b4c2-4e12-a4a7-8ea5b9bac32b,user_13c8959b,tt0343660,shared,2023-09-23T03:56:05,TV,16
69c5508d-46c3-4fa3-90c4-a019dd483c9b,user_6b388927,tt0208092,disliked,2024-10-01T05:02:10,mobile,29
960b6331-75e9-4384-91ac-372af086b2c3,user_aebf7c47,tt15398776,liked,2024-12-15T03:04:44,mobile,4
3420,user_58118477,tt0360717,watched,2024-03-29T08:55:57,web,4378
4152,user_40d475ed,tt0343660,watched,2024-07-06T12:56:00,TV,6710
da806f10-ac96-4522-a4db-6761a83aa201,user_c67a35a0,tt1587310,disliked,2025-06-02T05:15:32,TV,7
db388103-a810-4c0f-8df9-f762b7cbea86,user_0796c9f1,tt0831387,disliked,2025-05-04T23:47:04,web,8
4133,user_e8630d97,tt0448115,watched,2023-09-26T19:29:13,TV,3189
2688,user_bc0d15f8,tt1895587,watched,2023-09-05T21:37:38,mobile,882
7ce7fdd4-156a-4e83-bebb-064d75d6f1ce,user_77839a05,tt0093773,liked,2023-08-28T20:04:35,web,22
60d815fe-d315-438e-9f4d-c669c202f867,user_2eddca63,tt1187043,liked,2024-01-01T06:49:39,TV,30
6141248b-c4c9-4ebd-b074-a5f68c55e04e,user_8377aedb,tt2084970,liked,2025-04-18T04:18:34,TV,13
fdf98daf-db6b-4185-a8b8-d30fd2442bf2,user_2385ca45,tt0240772,disliked,2024-02-18T17:20:43,TV,22
0097fb34-7e0a-4b76-a922-ebf2829dbdc3,user_89a0dd31,tt0096895,clicked,2024-01-01T12:53:53,web,29
1363,user_19ead7ee,tt1074638,watched,2025-03-07T15:50:05,TV,2460
9d84a457-df08-49c1-853b-c675dc8be894,user_f987098a,tt0499549,shared,2023-09-03T09:27:35,web,11
1925,user_19ead7ee,tt11286314,watched,2025-06-26T02:19:56,mobile,6655
