behavior_id,user_id,movie_id,action_type,timestamp,device_type,duration_sec
1,user_c16f8e07,tt0111161,watched,2024-01-07T08:52:17,mobile,5227
2,user_2d7135f2,tt0111161,watched,2024-02-28T20:52:05,TV,327
3,user_a44eba37,tt0111161,watched,2025-04-20T15:00:24,TV,5772
4,user_17b70d84,tt0111161,watched,2024-03-05T12:49:01,TV,6178
5,user_738b6473,tt0111161,watched,2024-11-05T08:07:54,TV,1011
6,user_1154ad2d,tt0111161,watched,2024-07-19T19:03:31,TV,4512
7,user_aebf7c47,tt0111161,watched,2023-07-28T13:50:23,web,1987
8,user_994a3467,tt0468569,watched,2024-01-17T06:31:34,TV,5615
9,user_15bef7a8,tt0468569,watched,2023-09-25T18:39:38,mobile,807
10,user_0b761540,tt0468569,watched,2024-10-16T07:03:32,mobile,470
11,user_d02e5d6f,tt0468569,watched,2023-10-04T12:37:45,mobile,3776
12,user_eb6d6ef3,tt0468569,watched,2024-08-28T22:41:43,mobile,7024
13,user_c67a35a0,tt0468569,watched,2024-07-06T05:49:29,mobile,2004
14,user_90ecf8fe,tt0468569,watched,2024-04-07T06:38:07,mobile,6180
15,user_04bb774b,tt0468569,watched,2024-05-16T15:43:01,mobile,1162
16,user_fcf8186f,tt1375666,watched,2023-09-23T14:52:07,mobile,6824
17,user_a394e6df,tt1375666,watched,2023-12-12T12:12:39,TV,5022
18,user_2eddca63,tt1375666,watched,2024-12-16T13:14:23,mobile,4757
19,user_2d7135f2,tt1375666,watched,2023-08-31T08:25:42,TV,6083
20,user_c818bd1e,tt1375666,watched,2023-08-14T14:19:48,TV,4062
21,user_89a0dd31,tt1375666,watched,2023-07-27T12:51:31,mobile,3189
22,user_2385ca45,tt1375666,watched,2024-02-16T17:28:33,TV,5083
23,user_0b91efdc,tt1375666,watched,2024-03-10T07:13:38,mobile,6895
24,user_13c8959b,tt1375666,watched,2025-02-15T23:33:39,TV,1123
25,user_6b388927,tt0137523,watched,2024-08-21T06:51:17,TV,2431
26,user_15bef7a8,tt0137523,watched,2025-06-08T20:10:32,TV,7044
27,user_a5530e97,tt0137523,watched,2024-03-19T16:42:41,mobile,5613
28,user_96aacd7f,tt0137523,watched,2024-01-27T00:14:49,web,1795
29,user_65f945ff,tt0137523,watched,2024-04-26T11:30:09,mobile,6462
30,user_c4161c23,tt0137523,watched,2024-08-29T04:50:58,web,6004
31,user_c16f8e07,tt0137523,watched,2023-11-08T13:17:57,TV,7083
32,user_a394e6df,tt0137523,watched,2023-10-09T11:47:50,mobile,7079
33,user_8be6b0ed,tt0137523,watched,2023-08-04T22:48:35,web,5117
34,user_90ecf8fe,tt0137523,watched,2024-07-08T06:48:25,TV,1026
35,user_1997d96a,tt0137523,watched,2024-09-29T22:11:36,TV,5035
36,user_0882a54e,tt0109830,watched,2024-06-20T23:51:59,web,467
37,user_8377aedb,tt0109830,watched,2023-11-21T07:13:33,mobile,1572
38,user_f69fd4d6,tt0109830,watched,2023-09-25T00:47:35,TV,1225
39,user_1997d96a,tt0109830,watched,2023-12-08T01:22:33,TV,801
40,user_0fcb63da,tt0109830,watched,2024-11-17T12:18:14,mobile,6285
41,user_766be105,tt0109830,watched,2024-12-17T14:40:17,mobile,5847
42,user_6b388927,tt0816692,watched,2023-12-05T23:17:02,TV,6965
43,user_540cb105,tt0816692,watched,2024-12-09T20:49:49,mobile,3179
44,user_2eddca63,tt0816692,watched,2025-02-17T13:26:57,mobile,6732
